DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0.0873,0,0,0,0,0,0
2,1,2,0.1222,0,0,0,0,0,0
3,2,3,0.0698,0,0,0,0,0,0
4,3,4,0.0873,0,0,0,0,0,0
5,4,5,0.1396,0,0,0,0,0,0
6,5,6,0.0524,0,0,0,0,0,0
7,6,7,0.1396,0,0,0,0,0,0
8,7,8,0.0873,0,0,0,0,0,0
9,8,9,0.0873,0,0,0,0,0,0
10,9,10,0.0873,0,0,0,0,0,0
11,10,11,0.0873,0,0,0,0,0,0
12,11,12,0.0524,0,0,0,0,0,0
13,12,13,0.0,0,0,0,0,0,0
14,13,14,6.2134,0,0,0,0,0,0
15,14,15,6.0912,0,0,0,0,0,0
16,15,16,5.8643,0,0,0,0,0,0
17,16,17,5.5676,0,0,0,0,0,0
18,17,18,5.2185,0,0,0,0,0,0
19,18,19,4.66,0,0,0,0,0,0
20,19,20,4.5204,0,0,0,0,0,0
21,20,21,4.5029,0,0,0,0,0,0
22,21,22,4.4157,0,0,0,0,0,0
23,22,23,4.468,0,0,0,0,0,0
24,23,24,4.468,0,0,0,0,0,0
25,24,25,4.3459,0,0,0,0,0,0
26,25,26,4.3284,0,0,0,0,0,0
27,26,27,4.468,0,0,0,0,0,0
28,27,28,4.5204,0,0,0,0,0,0
