PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,32.5959824,129.3001533,0,-5.409,39.783,1,4929,34,90
2,32.595984,129.300202,0,-4.93,52.432,1,4929,34,90
3,32.5958972,129.3001757,0,-31.666,45.616,1,4929,34,90
4,32.5959727,129.3000131,0,-8.413,3.389,1,4929,34,90
5,32.5959731,129.3001931,0,-8.283,50.12,1,4929,34,90
6,32.5959595,129.3000137,0,-12.475,3.569,1,4929,34,90
7,32.5958982,129.3001689,0,-31.351,43.84,1,4929,34,90
14,32.5959784,129.3001873,0,-6.655,48.627,1,4929,34,90
15,32.5959782,129.3001921,0,-6.709,49.851,1,4929,34,90
16,32.5959778,129.3001944,0,-6.839,50.472,1,4929,34,90
17,32.5959772,129.3001959,0,-7.021,50.846,1,4929,34,90
18,32.5959766,129.3001967,0,-7.197,51.061,1,4929,34,90
19,32.5959759,129.3001972,0,-7.431,51.176,1,4929,34,90
20,32.5959748,129.3001971,0,-7.758,51.153,1,4929,34,90
21,32.5959736,129.3001968,0,-8.132,51.079,1,4929,34,90
22,32.5959635,129.3001936,0,-11.248,50.242,1,4929,34,90
23,32.5959534,129.3001903,0,-14.364,49.405,1,4929,34,90
24,32.5959433,129.3001871,0,-17.48,48.568,1,4929,34,90
25,32.5959331,129.3001839,0,-20.596,47.731,1,4929,34,90
26,32.595923,129.3001807,0,-23.712,46.894,1,4929,34,90
27,32.5959129,129.3001774,0,-26.828,46.057,1,4929,34,90
28,32.5959028,129.3001742,0,-29.944,45.22,1,4929,34,90
29,32.5958975,129.3001726,0,-31.567,44.79,1,4929,34,90
30,32.595984,129.300202,0,-4.942,52.423,1,4929,34,90
30,32.595984,129.300202,0,-4.942,52.423,1,4929,34,90
31,32.5959824,129.3001532,0,-5.413,39.771,1,4929,34,90
32,32.5959726,129.3000131,0,-8.443,3.402,1,4929,34,90
33,32.5959595,129.3000137,0,-12.477,3.567,1,4929,34,90
34,32.5959735,129.3001987,0,-8.154,51.581,1,4929,34,90
35,32.5959838,129.3001965,0,-4.993,51.01,1,4929,34,90
35,32.5959838,129.3001965,0,-4.993,51.01,1,4929,34,90
36,32.595984,129.300202,0,-4.934,52.423,1,4929,34,90
37,32.5958972,129.3001757,0,-31.663,45.616,1,4929,34,90
38,32.5958982,129.300169,0,-31.354,43.854,1,4929,34,90
39,32.5959796,129.300195,0,-6.295,50.627,1,4929,34,90
43,32.5959662,129.3000149,0,-10.418,3.88,1,4929,34,90
44,32.5959673,129.3000301,0,-10.064,7.815,1,4929,34,90
45,32.5959761,129.3001509,0,-7.356,39.17,1,4929,34,90
46,32.5959768,129.3001603,-0.016,-7.156,41.615,1,4929,34,90
47,32.5959779,129.3001779,0,-6.801,46.17,1,4929,34,90
49,32.5959686,129.3000457,0,-9.684,11.873,1,4929,34,90
50,32.5959701,129.3000692,0,-9.195,17.953,1,4929,34,90
51,32.5959717,129.3000889,0,-8.732,23.07,1,4929,34,90
52,32.5959724,129.3001011,0,-8.498,26.254,1,4929,34,90
53,32.5959739,129.3001217,0,-8.038,31.586,1,4929,34,90
54,32.5959752,129.3001381,0,-7.638,35.858,1,4929,34,90
55,32.5959771,129.300166,0,-7.047,43.098,1,4929,34,90
56,32.5959775,129.3001714,0,-6.921,44.486,1,4929,34,90
